CVE, Rietveld Ids, Google Code Issue Ids, Open to public?
CVE-2011-3963,"",109094,true
CVE-2011-3964,9116016 9285029,109245,true
CVE-2011-3965,9150013 9283039,109664,true
CVE-2011-3966,8315013,109716,true
CVE-2011-3967,9169028 9146055,109717,true
CVE-2011-3968,"",109743,true
CVE-2011-3969,"",110112,true
CVE-2011-3970,9275001 9283034,110277,true
CVE-2011-3971,"",110374,true
CVE-2011-3972,9113066 9288068,110559,true
CVE-2011-4691,"","",-1
CVE-2011-4692,"","",-1
CVE-2011-0776,4044002,42989,true
CVE-2011-0782,6051013,66931,true
CVE-2011-1042,"","",-1
CVE-2011-1071,2980002 2962017,48733,true
CVE-2011-1186,6121003,66962,true
CVE-2011-1192,6615011 6698005,70779,true
CVE-2011-1300,"",70070,true
CVE-2011-1305,6330011,70589,true
CVE-2011-1436,6462017 6469097 12096116,72910,true
CVE-2011-1439,6719018,74763,true
CVE-2011-1444,6731031 6683056 6675053 6675054 6780010 6802024,76542,true
CVE-2011-1659,2980002 2962017,48733,true
CVE-2011-2782,7109031 7145018,81307,true
CVE-2011-2806,"",89836,true
CVE-2011-2822,7572046 7602005 7643001,72492,true
CVE-2011-2837,6973032,57908,true
CVE-2011-2839,"",91665,true
CVE-2011-2842,"",80680,true
CVE-2011-3096,10103012 10269005,123530,true
CVE-2011-3098,10123017 10274003,124216,true
CVE-2011-3101,10019003 10268004,118970,true
CVE-2011-3109,159147 10380044 10378081 10378088 10389080 10381117,126296,true
CVE-2011-3640,8390026 8394029,97426,true
CVE-2011-3886,8139037,99167 98773,true
CVE-2011-4599,8822005 8873031 8964020,106441,true
CVE-2012-0724,"","",-1
CVE-2012-0725,"","",-1
CVE-2012-1521,"",117110,true
CVE-2012-1845,"","",-1
CVE-2012-1846,"","",-1
CVE-2012-1846,"","",-1
CVE-2012-1846,"","",-1
CVE-2012-2815,8341069 8854008 8917002 8940001 8879064,118633,true
CVE-2012-2815,"","",-1
CVE-2012-2817,"",120222,true
CVE-2012-2818,"",120944,true
CVE-2012-2819,10444013,120977,true
CVE-2012-2820,8949038,121926,true
CVE-2012-2821,9008014 9018028,122925,true
CVE-2012-2822,"","",-1
CVE-2012-2823,"",124356,true
CVE-2012-2824,9207013,125374,true
CVE-2012-2825,10441148 10533035,127417,true
CVE-2012-2826,10441002,128688,true
CVE-2012-2826,"","",-1
CVE-2012-2828,"",129857,true
CVE-2012-2829,"",129947,true
CVE-2012-2830,"",129951,true
CVE-2012-2831,"",130356,true
CVE-2012-2832,"",131553,true
CVE-2012-2833,"",132156,true
CVE-2012-2834,10546180,132779,true
CVE-2012-2842,9352011,129898,true
CVE-2012-2843,"",130595,true
CVE-2012-2844,"",133450,true
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
CVE-2012-2844,"","",-1
